date dx dy dz
200611 0000 -0.004 -0.001 0.002
200612 0000 -0.003 -0.002 0.002
200613 0000 -0.003 -0.002 0.002
200614 0000 -0.003 -0.002 0.002
200615 0000 -0.004 -0.001 0.002
200616 0000 -0.003 -0.002 0.001
200617 0000 -0.004 -0.001 0.002
200618 0000 -0.004 -0.001 0.002
200619 0000 -0.005 -0.003 0.002
200620 0000 -0.003 -0.002 0.002
200621 0000 -0.002 -0.002 0.003
200622 0000 -0.003 -0.002 0.002
200623 0000 -0.003 -0.002 0.001
200624 0000 -0.003 -0.004 0.002
200625 0000 -0.002 -0.003 0.002
200626 0000 -0.002 -0.003 0.002
200627 0000 -0.002 -0.003 0.002
200628 0000 -0.002 -0.003 0.002
200629 0000 -0.002 -0.003 0.002
200630 0000 -0.002 -0.003 0.002
200701 0000 -0.002 -0.003 0.003
200702 0000 -0.003 -0.004 0.002
200703 0000 0.000 -0.004 0.003
200704 0000 0.000 -0.004 0.003
200705 0000 -0.001 -0.003 0.002
200706 0000 -0.001 -0.005 0.002
200707 0000 -0.000 -0.004 0.002
200708 0000 0.000 -0.004 0.003
200709 0000 -0.000 -0.004 0.002
200710 0000 -0.000 -0.004 0.002
200711 0000 -0.000 -0.004 0.002
200712 0000 0.000 -0.004 0.003
200713 0000 0.001 -0.004 0.003
200714 0000 0.000 -0.004 0.002
200715 0000 0.000 -0.004 0.002
200716 0000 0.000 -0.004 0.002
200717 0000 0.000 -0.004 0.002
200718 0000 0.000 -0.004 0.002
200719 0000 0.000 -0.004 0.002
200720 0000 0.000 -0.004 0.002
200721 0000 0.000 -0.004 0.002
200722 0000 0.000 -0.004 0.002
200723 0000 0.001 -0.003 0.003
200724 0000 0.001 -0.003 0.002
200725 0000 0.002 -0.005 0.002
200726 0000 0.001 -0.003 0.002
200727 0000 0.001 -0.004 0.002
200728 0000 0.002 -0.004 0.002
200729 0000 0.002 -0.007 0.002
200730 0000 0.001 -0.003 0.003
200731 0000 0.001 -0.003 0.002
200801 0000 0.001 -0.003 0.002
200802 0000 0.001 -0.003 0.003
200803 0000 0.001 -0.003 0.003
200804 0000 0.002 -0.005 0.002
200805 0000 0.002 -0.004 0.002
200806 0000 0.002 -0.004 0.002
200807 0000 -0.000 -0.004 0.002
200808 0000 0.002 -0.005 0.003
200809 0000 0.002 -0.007 0.002
200810 0000 0.001 -0.006 0.002
200811 0000 0.002 -0.005 0.002
200812 0000 0.001 -0.003 0.002
200813 0000 0.002 -0.005 0.002
200814 0000 0.001 -0.002 0.002
200815 0000 0.002 -0.005 0.003
200816 0000 0.002 -0.007 0.002
200817 0000 0.002 -0.005 0.002
200818 0000 -0.126 0.380 0.002
200819 0000 0.002 -0.007 0.002
200820 0000 0.002 -0.007 0.002
200821 0000 -0.207 -0.129 0.002
200822 0000 -0.191 -0.031 0.002
200823 0000 -0.191 -0.031 0.002
200824 0000 0.003 -0.023 0.003
200825 0000 0.005 -0.021 0.001
200826 0000 0.005 -0.020 0.003
200827 0000 0.006 -0.021 0.003
200828 0000 0.006 -0.024 0.003
200829 0000 0.005 -0.022 0.001
200830 0000 0.006 -0.021 0.003
200831 0000 0.005 -0.022 0.003
200901 0000 0.005 -0.021 0.001
200902 0000 0.005 -0.022 0.003
200903 0000 0.005 -0.022 0.003
200904 0000 0.006 -0.022 0.003
200905 0000 0.004 -0.021 0.003
200906 0000 0.005 -0.024 0.003
200907 0000 0.004 -0.024 0.003
200908 0000 0.005 -0.022 0.003
200909 0000 0.005 -0.024 0.003
200910 0000 0.004 -0.024 0.003
200911 0000 0.005 -0.023 0.003
200912 0000 0.005 -0.022 0.003
200913 0000 0.005 -0.022 0.003
200914 0000 0.005 -0.022 0.003
200915 0000 0.005 -0.022 0.002
200916 0000 0.004 -0.024 0.003
200917 0000 0.005 -0.022 0.003
200918 0000 0.008 -0.024 0.003
200919 0000 0.007 -0.023 0.003
200920 0000 0.005 -0.025 0.003
200921 0000 0.008 -0.024 0.003
200922 0000 0.008 -0.024 0.002
200923 0000 0.008 -0.024 0.003
200924 0000 0.005 -0.025 0.003
200925 0000 0.008 -0.024 0.003
200926 0000 0.008 -0.024 0.003
200927 0000 0.008 -0.024 0.003
200928 0000 0.008 -0.024 0.003
200929 0000 0.008 -0.024 0.002
200930 0000 0.008 -0.023 0.003
201001 0000 0.007 -0.026 0.003
201002 0000 0.009 -0.025 0.003
201003 0000 0.010 -0.024 0.003
201004 0000 0.009 -0.024 0.003
201005 0000 0.010 -0.027 0.003
201006 0000 0.010 -0.024 0.003
201007 0000 0.010 -0.024 0.003
201008 0000 0.011 -0.023 0.003
201009 0000 0.010 -0.028 0.003
201010 0000 0.011 -0.025 0.003
201011 0000 0.012 -0.024 0.003
201012 0000 0.012 -0.024 0.003
201013 0000 0.012 -0.024 0.003
201014 0000 0.011 -0.026 0.003
201015 0000 0.012 -0.024 0.003
201016 0000 0.012 -0.024 0.003
201017 0000 0.012 -0.024 0.003
201018 0000 0.013 -0.023 0.003
201019 0000 0.012 -0.024 0.003
201020 0000 0.013 -0.024 0.003
201021 0000 0.012 -0.024 0.003
201022 0000 0.011 -0.025 0.003
201023 0000 0.012 -0.024 0.003
201024 0000 0.012 -0.024 0.003
201025 0000 0.013 -0.023 0.003
201026 0000 0.012 -0.024 0.003
201027 0000 0.014 -0.024 0.003
201028 0000 0.014 -0.024 0.003
201029 0000 0.014 -0.024 0.003
201030 0000 0.012 -0.024 0.003
201031 0000 0.013 -0.023 0.003
201101 0000 0.014 -0.020 0.003
201102 0000 0.015 -0.025 0.003
201103 0000 0.013 -0.022 0.003
201104 0000 0.015 -0.025 0.003
201105 0000 0.015 -0.025 0.003
201106 0000 0.014 -0.020 0.003
201107 0000 0.014 -0.021 0.003
201108 0000 0.013 -0.023 0.003
201109 0000 0.015 -0.021 0.003
201110 0000 0.014 -0.021 0.003
201111 0000 -0.131 0.317 0.003
201112 0000 -0.131 0.319 0.003
201113 0000 0.011 -0.020 0.003
201114 0000 -0.136 0.287 0.003
201115 0000 -0.135 0.297 0.003
201116 0000 -0.136 0.287 0.003
201117 0000 -0.137 0.285 0.003
201118 0000 -0.136 0.290 0.003
201119 0000 0.011 -0.020 0.003
201120 0000 -0.136 0.293 0.003
201121 0000 -0.138 0.283 0.003
201122 0000 -0.125 0.359 0.003
201123 0000 0.005 -0.018 0.003
201124 0000 0.006 -0.016 0.004
