date dx dy dz
190611 0000 0.000 0.000 -0.000
190612 0000 0.001 -0.002 -0.000
190613 0000 0.000 0.000 -0.002
190614 0000 0.001 0.002 -0.002
190615 0000 0.001 -0.000 0.002
190616 0000 0.000 -0.000 0.003
190617 0000 0.002 -0.004 0.002
190618 0000 0.002 -0.001 -0.000
190619 0000 0.001 0.000 0.001
190620 0000 0.003 -0.002 -0.004
190621 0000 0.002 -0.001 -0.005
190622 0000 0.003 -0.003 -0.005
190623 0000 0.002 -0.004 -0.004
190624 0000 0.002 -0.002 -0.005
190625 0000 -0.000 -0.002 -0.001
190626 0000 -0.001 -0.001 -0.004
190627 0000 0.002 -0.007 -0.013
190628 0000 0.005 -0.006 -0.012
190629 0000 0.004 -0.006 -0.005
190630 0000 0.004 -0.005 -0.005
190701 0000 0.005 -0.005 -0.013
190702 0000 0.005 -0.006 -0.015
190703 0000 0.006 -0.005 -0.018
190704 0000 0.006 -0.009 -0.015
190705 0000 0.006 -0.008 -0.015
190706 0000 0.005 -0.008 -0.014
190707 0000 0.006 -0.008 -0.018
190708 0000 0.006 -0.009 -0.018
190709 0000 0.005 -0.006 -0.013
190710 0000 0.071 -0.094 -0.017
190711 0000 0.004 -0.024 -0.011
190712 0000 0.020 -0.252 -0.005
190713 0000 0.011 -0.256 -0.019
190714 0000 0.040 -0.230 -0.019
190715 0000 0.017 -0.249 -0.017
190716 0000 0.028 -0.243 -0.017
190717 0000 0.020 -0.247 -0.010
190718 0000 0.017 -0.049 -0.024
190719 0000 0.016 -0.056 -0.021
190720 0000 0.008 -0.026 -0.019
190721 0000 0.016 -0.056 -0.017
190722 0000 0.025 -0.083 -0.029
190723 0000 0.016 -0.050 -0.029
190724 0000 0.031 -0.105 -0.029
190725 0000 0.032 -0.105 -0.032
190726 0000 NaN -0.093 NaN
190727 0000 NaN -0.109 NaN
190728 0000 NaN -0.105 NaN
190729 0000 NaN -0.061 NaN
190730 0000 NaN -0.087 NaN
190731 0000 NaN NaN NaN
190801 0000 NaN NaN NaN
190802 0000 NaN NaN NaN
190803 0000 NaN NaN NaN
190804 0000 NaN NaN NaN
190805 0000 NaN NaN NaN
190912 0000 0.002 -0.027 -0.006
190913 0000 0.002 -0.027 -0.006
190914 0000 0.001 -0.025 -0.007
190915 0000 0.002 -0.027 -0.004
190916 0000 0.005 -0.027 -0.017
190917 0000 0.001 -0.025 -0.006
190918 0000 -0.001 -0.025 -0.012
190919 0000 0.003 -0.028 -0.007
190920 0000 0.002 -0.027 -0.006
190921 0000 0.002 -0.027 -0.008
190922 0000 0.003 -0.027 -0.007
190923 0000 0.003 -0.027 -0.010
190924 0000 0.001 -0.024 -0.006
190925 0000 0.003 -0.028 -0.008
190926 0000 0.002 -0.026 -0.007
190927 0000 0.003 -0.027 -0.007
190928 0000 0.002 -0.027 -0.006
190929 0000 0.003 -0.028 -0.007
190930 0000 0.002 -0.027 -0.006
191001 0000 0.003 -0.027 -0.007
191002 0000 0.002 -0.027 -0.006
191003 0000 0.002 -0.026 -0.007
191004 0000 0.002 -0.027 -0.006
191005 0000 0.002 -0.027 -0.006
191006 0000 0.001 -0.024 -0.006
191007 0000 0.002 -0.027 -0.006
191008 0000 0.002 -0.027 -0.006
191009 0000 0.002 -0.027 -0.006
191010 0000 0.002 -0.026 -0.006
191011 0000 0.003 -0.026 -0.011
191012 0000 0.002 -0.026 -0.008
191013 0000 0.002 -0.026 -0.007
191014 0000 0.017 -0.075 -0.010
191015 0000 0.002 -0.025 -0.010
191016 0000 0.016 -0.069 -0.010
191017 0000 0.002 -0.025 -0.010
191018 0000 0.002 -0.022 -0.010
191019 0000 0.002 -0.025 -0.010
191020 0000 0.001 -0.022 -0.008
191021 0000 0.004 -0.029 -0.009
191022 0000 0.002 -0.025 -0.008
191023 0000 0.002 -0.025 -0.006
191024 0000 0.002 -0.025 -0.008
191025 0000 0.002 -0.025 -0.008
191026 0000 0.002 -0.025 -0.008
191027 0000 0.002 -0.025 -0.008
191028 0000 0.002 -0.025 -0.008
191029 0000 0.003 -0.028 -0.006
191030 0000 0.002 -0.025 -0.008
191031 0000 0.003 -0.026 -0.010
191101 0000 0.001 -0.020 -0.008
191102 0000 0.002 -0.023 -0.008
191103 0000 0.001 -0.019 -0.009
191104 0000 0.002 -0.025 -0.008
191105 0000 0.003 -0.026 -0.010
191106 0000 0.002 -0.022 -0.010
191107 0000 0.003 -0.026 -0.009
191108 0000 0.001 -0.019 -0.010
191109 0000 0.001 -0.020 -0.010
191110 0000 0.001 -0.020 -0.007
191111 0000 0.000 -0.021 -0.004
191112 0000 0.001 -0.019 -0.009
191113 0000 0.001 -0.020 -0.009
191114 0000 0.000 -0.019 -0.004
191115 0000 -0.000 -0.019 -0.004
191116 0000 -0.000 -0.019 -0.004
191117 0000 0.001 -0.019 -0.013
191118 0000 0.000 -0.019 -0.006
191119 0000 0.001 -0.021 -0.008
191120 0000 0.001 -0.019 -0.008
191121 0000 0.000 -0.019 -0.006
191122 0000 0.002 -0.021 -0.013
191123 0000 0.001 -0.019 -0.008
191124 0000 0.001 -0.019 -0.008
191125 0000 0.000 -0.019 -0.006
191126 0000 0.000 -0.019 -0.006
191127 0000 0.000 -0.019 -0.007
191128 0000 0.000 -0.021 -0.004
191129 0000 -0.001 -0.020 -0.004
191130 0000 -0.001 -0.020 -0.004
191201 0000 0.001 -0.021 -0.009
191202 0000 0.000 -0.021 -0.007
191203 0000 -0.000 -0.020 -0.007
191204 0000 0.000 -0.020 -0.008
191205 0000 -0.000 -0.020 -0.006
191206 0000 0.001 -0.020 -0.011
191207 0000 0.000 -0.020 -0.010
